DATE,FFR,Tbill,Tb1yr,r5,r10,PPINSA,Finished,CPI,CPICORE,M1NSA,M2SA,M2NSA,Unemp,IndProd,RGDP,Potent,Deflator,Curr
1982Q2,14.51,12.42,13.8,14.06,13.93,99.8,99.27,95.97,52.1,446.07,5445.3,1811.83,9.43,48.72,5884,6285.6,55.08,145.7
1982Q3,11.01,9.32,11.84,13.11,13.12,100.23,100.5,97.63,52.93,451.83,5538.1,1847.63,9.9,48.04,5861.4,6333.4,55.864,149.3
1982Q4,9.29,7.91,9.13,10.47,10.67,100.33,101.4,97.93,53.67,475.3,5662.8,1894.37,10.67,47.15,5866,6381.6,56.47,152.8
1983Q1,8.65,8.11,8.86,10.12,10.56,100.37,101.03,98,54.4,479.9,5974.3,1987.37,10.37,47.69,5938.9,6427.4,56.929,153.8
1983Q2,8.8,8.4,9.18,10.23,10.54,100.73,101.37,99.13,54.82,498.67,6127.6,2039.83,10.13,48.75,6072.4,6472.6,57.345,158.7
1983Q3,9.46,9.14,10.3,11.42,11.63,101.7,101.9,100.1,55.66,510.03,6224.3,2075.2,9.37,50.4,6192.2,6518.3,57.929,162.8
1983Q4,9.43,8.8,9.95,11.41,11.69,102.2,102.17,101.1,56.11,524.1,6337.3,2118.63,8.53,51.7,6320.2,6564.9,58.355,167.2
1984Q1,9.69,9.17,10.18,11.64,11.94,103.33,103.4,102.53,56.67,523.43,6474.1,2154.7,7.87,53.24,6442.8,6613.5,59.096,168.2
1984Q2,10.56,9.8,11.55,13.01,13.2,104.03,103.83,103.5,57.33,537.33,6613.6,2201.47,7.43,54.06,6554,6664.6,59.602,172.2
1984Q3,11.39,10.32,11.81,12.83,12.87,103.8,103.87,104.4,57.87,541.6,6700.9,2234.07,7.43,54.46,6617.7,6717.3,60.081,176.3
1984Q4,9.27,8.8,10.02,11.49,11.74,103.53,103.87,105.3,58.29,552.2,6849.2,2289.03,7.3,54.5,6671.6,6771.5,60.465,179
1985Q1,8.48,8.18,9.39,11.19,11.58,103.27,104.07,106.27,59,557.13,7055.1,2348.63,7.23,54.65,6734.5,6827.6,61.136,179.2
1985Q2,7.92,7.46,8.47,10.32,10.81,103.37,104.7,107.23,59.46,576.53,7180,2390.67,7.3,54.7,6791.5,6884.8,61.483,183.1
1985Q3,7.9,7.11,7.99,9.77,10.34,102.67,104.33,107.9,59.97,596.3,7332.6,2444.17,7.2,54.6,6897.6,6942.5,61.736,187.9
1985Q4,8.1,7.17,7.85,9.23,9.76,103.3,105.47,109,60.46,617.83,7440.7,2485.07,7.03,54.93,6950,7000.4,62.14,191.9
1986Q1,7.83,6.9,7.46,8.16,8.56,101.73,104.13,109.57,61.13,621.23,7551,2514.53,7.03,55.25,7016.8,7057.2,62.456,192.4
1986Q2,6.92,6.14,6.61,7.4,7.6,99.83,102.73,109.03,61.67,651.83,7751,2581.57,7.17,54.93,7045,7113.4,62.786,196.5
1986Q3,6.21,5.52,5.99,6.93,7.31,99.37,102.63,109.7,62.25,678.77,7945.2,2648.1,6.97,55.15,7112.9,7169.4,63.143,201.2
1986Q4,6.27,5.35,5.8,6.75,7.26,99.73,103.5,110.47,62.85,713.6,8121.7,2711.83,6.83,55.76,7147.3,7225.1,63.567,205.5
1987Q1,6.22,5.54,5.92,6.74,7.19,100.9,104.33,111.8,63.43,725.77,8249.7,2747.1,6.6,56.5,7186.9,7280.7,64.16,207.3
1987Q2,6.65,5.66,6.77,7.95,8.34,102.5,105.27,113.07,63.99,745.03,8321,2772.63,6.27,57.51,7263.3,7336.2,64.526,212
1987Q3,6.84,6.04,7.13,8.42,8.88,103.67,105.93,114.27,64.62,744.97,8373.1,2790.77,6,58.54,7326.3,7391.7,65.033,217
1987Q4,6.92,5.86,7.24,8.63,9.12,104.17,105.93,115.33,65.28,758.03,8468.8,2826.6,5.83,59.97,7451.7,7447.5,65.53,223
1988Q1,6.66,5.72,6.78,7.91,8.42,104.77,106.43,116.23,65.96,753.43,8617.3,2870.53,5.7,60.51,7490.2,7503.7,66.068,225.5
1988Q2,7.16,6.21,7.3,8.42,8.91,106.5,107.23,117.57,66.75,773.27,8783.9,2926.73,5.47,61.02,7586.4,7560,66.689,230.7
1988Q3,7.98,7.01,8,8.76,9.1,108,108.73,119,67.52,782.07,8865.1,2954,5.47,61.29,7625.6,7616.7,67.442,236.1
1988Q4,8.47,7.73,8.53,8.8,8.96,108.5,109.6,120.3,68.24,790.27,8942.6,2984.77,5.33,61.71,7727.4,7673.6,67.953,240.6
1989Q1,9.44,8.54,9.29,9.31,9.21,110.93,111.77,121.67,69.03,779.43,8992,2996.4,5.2,61.98,7799.9,7730.9,68.723,242.1
1989Q2,9.73,8.41,8.93,8.83,8.77,112.8,113.7,123.63,69.64,776.37,9053.9,3016.73,5.23,61.76,7858.3,7789.1,69.399,245.8
1989Q3,9.08,7.84,8.1,8.03,8.11,112.4,113.73,124.6,70.12,778.3,9227.6,3073.73,5.23,61.36,7920.6,7847.5,69.855,249.3
1989Q4,8.61,7.65,7.83,7.84,7.91,112.83,114.97,125.87,70.77,794.67,9407.4,3139.43,5.37,61.6,7937.9,7906,70.317,252.6
1990Q1,8.25,7.76,8.13,8.38,8.42,114.5,117.6,128.03,71.64,793.97,9542.2,3179.97,5.3,62.03,8020.8,7964.7,71.166,256.1
1990Q2,8.24,7.75,8.27,8.65,8.68,114.33,117.5,129.3,72.58,806.9,9621.2,3207.5,5.33,62.5,8052.7,8023.2,71.993,262.8
