Date,Open,High,Low,Close,Volume,Adj Close
18/9/15,198,199.75,197.149994,197.550003,5983300,195.155578
17/9/15,201.149994,204.050003,200.490005,200.899994,8791400,198.464965
16/9/15,199.919998,201.589996,199.600006,201.410004,5331600,198.968793
15/9/15,197.830002,200.149994,197.229996,199.619995,4680900,197.20048
14/9/15,198.059998,198.149994,196.559998,197.149994,2576600,194.760417
11/9/15,196.440002,197.949997,195.660004,197.919998,3392300,195.521088
10/9/15,195.690002,198.369995,195.380005,196.960007,4904800,194.572732
9/9/15,200.440002,200.630005,195.460007,195.910004,7630400,193.535456
8/9/15,197.059998,198.75,196.309998,198.669998,6466700,196.261998
4/9/15,194.009995,194.949997,192.710007,193.660004,7237100,191.312727
3/9/15,197.399994,199.210007,196.080002,196.710007,9071300,194.325763
2/9/15,195.779999,196.589996,193.539993,196.539993,8961900,194.15781
1/9/15,194.279999,195.880005,191.830002,192.729996,12412100,190.393992
31/8/15,199.350006,200.289993,198.179993,198.75,7316500,196.34103
28/8/15,199.660004,200.990005,199.089996,200.479996,5822600,198.050057
27/8/15,198.25,200.559998,196.339996,200.490005,9720100,198.059945
26/8/15,193.240005,195.880005,189.470001,195.679993,13443500,193.308233
25/8/15,196.509995,196.940002,188.039993,188.279999,8894700,185.997931
24/8/15,188.509995,196.960007,147.210007,190.520004,13186300,188.210787
21/8/15,203,204.119995,198.690002,198.809998,14981000,196.4003
20/8/15,207.789993,208.389999,205.119995,205.130005,8387700,202.643705
19/8/15,210.380005,211.279999,208.600006,209.570007,5296600,207.029892
18/8/15,211.559998,211.940002,210.970001,211.270004,1960500,208.709284
17/8/15,209.940002,211.869995,209.399994,211.869995,2413000,209.302003
14/8/15,209.699997,210.759995,209.520004,210.630005,2011800,208.077042
13/8/15,210,210.809998,209.279999,209.910004,2648100,207.365768
12/8/15,208.350006,210.389999,206.630005,210.119995,4091200,207.573214
11/8/15,210.229996,210.710007,209.020004,209.919998,2778200,207.375641
10/8/15,210.559998,211.929993,210.559998,211.830002,2173300,209.262494
7/8/15,209.429993,209.570007,208.139999,209.179993,3556800,206.644605
6/8/15,211.520004,211.690002,208.899994,209.690002,2999800,207.148433
5/8/15,211.740005,212.580002,211,211.399994,2820000,208.837698
4/8/15,211,211.5,210.070007,210.600006,3046800,208.047407
3/8/15,211.699997,211.800003,209.929993,211.039993,5257200,208.482061
31/7/15,212.740005,212.740005,211.440002,211.759995,4474000,209.193335
30/7/15,211.429993,212.289993,210.699997,212.059998,2181300,209.489702
29/7/15,210.770004,212.309998,210.570007,211.990005,3765300,209.420558
28/7/15,209.059998,210.759995,208.070007,210.580002,2766500,208.027645
27/7/15,208.179993,208.800003,207.509995,207.990005,4497200,205.469041
24/7/15,211.559998,211.639999,208.860001,209.25,3545300,206.713764
23/7/15,212.830002,212.910004,211.039993,211.470001,2800200,208.906857
22/7/15,212.199997,213.050003,212.179993,212.619995,3078200,210.042912
21/7/15,213.690002,214,212.690002,213.029999,2928100,210.447946
20/7/15,214.029999,214.460007,213.539993,213.860001,2361300,211.267888
17/7/15,213.600006,213.850006,213.119995,213.779999,2326500,211.188856
16/7/15,213.190002,213.610001,212.899994,213.550003,4310900,210.961648
15/7/15,212.039993,212.580002,211.360001,211.889999,3262100,209.321765
14/7/15,210.979996,212.339996,210.960007,211.970001,4364400,209.400797
13/7/15,210.279999,211.199997,210.25,211.089996,3189400,208.531458
10/7/15,208.600006,209.25,207.770004,208.789993,4358200,206.259332
9/7/15,208.360001,208.630005,206.080002,206.160004,4401900,203.66122
8/7/15,207.699997,208.050003,205.520004,205.789993,5093200,203.295694
7/7/15,208.240005,209.460007,205.369995,209.320007,5829900,206.782922
6/7/15,207.020004,208.940002,206.820007,208.039993,4563400,205.518423
2/7/15,209.339996,209.570007,208.100006,208.589996,2880700,206.061759
1/7/15,209.080002,209.320007,207.860001,208.839996,4942100,206.308729
30/6/15,208.5,208.509995,206.550003,207.220001,4765100,204.70837
29/6/15,209.309998,210.080002,206.589996,206.729996,5559400,204.224303
26/6/15,211.580002,211.839996,210.449997,211.169998,3169700,208.61049
25/6/15,212.419998,212.529999,211.059998,211.110001,2986900,208.55122
24/6/15,212.970001,213.449997,211.75,211.779999,2056200,209.213097
23/6/15,214.630005,214.910004,214.050003,214.460007,3273200,210.693934
22/6/15,214.399994,215.070007,214.119995,214.369995,3093300,210.605504
19/6/15,213.970001,214.020004,212.800003,212.850006,3268000,209.112207
18/6/15,212.710007,214.759995,212.559998,214.119995,3004100,210.359894
17/6/15,212.009995,212.720001,210.770004,211.990005,2363300,208.267308
16/6/15,210.320007,211.75,210.130005,211.699997,4033700,207.982392
15/6/15,209.970001,210.850006,209.190002,210.529999,2909200,206.83294
12/6/15,212.080002,212.229996,211.100006,211.410004,4895200,207.697492
11/6/15,212.929993,213.5,212.639999,213.029999,3438000,209.289039
10/6/15,210.940002,212.820007,210.660004,212.309998,3308000,208.581681
9/6/15,209.910004,210.470001,209.100006,209.820007,2582900,206.135417
8/6/15,211.050003,211.199997,209.779999,209.889999,2830100,206.20418
5/6/15,211.300003,211.979996,210.380005,211.190002,2672400,207.481354
4/6/15,212.490005,213.190002,211.160004,211.660004,2924100,207.943102
3/6/15,213.389999,214.100006,212.759995,213.380005,3367400,209.632898
2/6/15,212.449997,213.600006,211.679993,212.779999,2791500,209.043429
1/6/15,213.350006,213.770004,212.050003,212.949997,3516800,209.210442
29/5/15,213.800003,213.860001,212.25,212.580002,3736000,208.846944
28/5/15,213.770004,214.029999,213.050003,213.880005,2973800,210.124118
27/5/15,212.699997,214.419998,212.279999,214.160004,2496300,210.3992
26/5/15,213.839996,213.940002,211.630005,212.130005,3072600,208.404849
22/5/15,214.470001,214.979996,214.350006,214.460007,1840900,210.693934
21/5/15,214.169998,215.179993,213.949997,214.910004,1341300,211.136029
20/5/15,214.589996,215.229996,213.949997,214.289993,1738000,210.526907
19/5/15,214.699997,215,214.119995,214.5,1716100,210.733225
18/5/15,213.699997,214.860001,213.619995,214.539993,3440000,210.772516
15/5/15,213.889999,214.029999,213.300003,213.910004,3021800,210.15359
14/5/15,212.699997,213.75,212.339996,213.690002,2633300,209.937452
13/5/15,211.919998,212.639999,211.139999,211.429993,2720800,207.71713
12/5/15,211,212.039993,210.020004,211.350006,3802700,207.638548
11/5/15,213,213.300003,211.940002,212,4542300,208.277127
8/5/15,212.279999,213.279999,212.220001,213.029999,5096900,209.289039
7/5/15,209.309998,210.759995,208.919998,210.289993,5453200,206.59715
6/5/15,210.940002,211.330002,208.149994,209.470001,3332900,205.791557
5/5/15,212.429993,212.850006,210.130005,210.339996,2541700,206.646274
4/5/15,212.649994,213.419998,212.529999,212.800003,1834400,209.063082
1/5/15,210.809998,212.190002,210.699997,212.119995,2983100,208.395015
30/4/15,211.300003,211.759995,209.020004,209.850006,3738000,206.164889
29/4/15,211.75,212.710007,211.029999,211.990005,3653300,208.267308
28/4/15,212.160004,212.919998,210.75,212.820007,4874300,209.082735
27/4/15,213.770004,213.880005,211.949997,212.240005,2234700,208.512918
24/4/15,213.070007,213.389999,212.520004,213.080002,1838500,209.338163
23/4/15,211.580002,213.369995,211.449997,212.610001,3736600,208.876416
22/4/15,211.440002,212.259995,210.320007,212.080002,2709300,208.355724
21/4/15,212.100006,212.259995,210.660004,211.059998,2663900,207.353632
20/4/15,210.479996,211.649994,210.380005,211.279999,2644900,207.56977
17/4/15,210.369995,210.619995,208.399994,209.360001,4583700,205.683488
16/4/15,211.460007,212.380005,211.210007,211.809998,3055800,208.090461
15/4/15,211.479996,212.449997,211.350006,211.910004,2765900,208.188711
14/4/15,210.270004,211.110001,209.490005,210.830002,2816200,207.127675
13/4/15,211.309998,212.029999,210.460007,210.460007,1428800,206.764177
10/4/15,210.589996,211.490005,210.369995,211.429993,1737800,207.71713
9/4/15,209.199997,210.570007,208.600006,210.330002,2190400,206.636455
8/4/15,208.970001,209.889999,208.460007,209.410004,2862500,205.732613
7/4/15,209.229996,210.149994,208.649994,208.660004,2247200,204.995784
6/4/15,206.759995,209.850006,206.589996,209.279999,2648600,205.604891
